kernel_id,classification
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,memory_bound
kernel_0002_1faa81623a925a9e2084e148672df203,memory_bound
kernel_0003_0a7671622339a06b4a022feebfe90426,compute_bound
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,balanced
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,compute_bound
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,balanced
kernel_0007_00005f09c4340a046ca3c5a663a85a78,balanced
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,memory_bound
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,balanced
kernel_0010_adbaf834f7ef147e0ba0fa823d1cf461,balanced
kernel_0011_80f82850de797dbe1c2bc09b49ba440d,balanced
kernel_0012_5c25747ef73c201c03443a7fd9e4dc0a,memory_bound
kernel_0013_178ff748c21ea29399b8568af3cd1f02,memory_bound
kernel_0014_9e80f0ed5cb0e570723795cf1e90602c,memory_bound
kernel_0015_6e455799bd13dda1c89d797afda657d1,memory_bound
kernel_0016_d5dc19ab8d6c32669179c164a1a4c9a5,compute_bound
kernel_0017_8a01c8921faf9b4e5fbb6acb3e3ad982,compute_bound
kernel_0018_1d7327b1c2dfbbb368e7c2a1a25ad575,memory_bound
kernel_0019_21996b732bff997c382af60773e3826c,memory_bound
kernel_0020_774ba7c8cbad40df1ee4aee6a2841e96,balanced
